date,adj_close,close,high,low,open,volume
2021-10-11,22.0,22.0,22.5,21.25,21.25,4174
2021-10-12,19.25,19.25,23.75,18.75,22.0,24844
2021-10-13,19.0,19.0,20.75,19.0,19.0,9628
2021-10-14,18.5,18.5,19.75,17.75,19.0,4382
2021-10-15,17.75,17.75,18.75,16.75,18.75,15984
2021-10-18,17.5,17.5,18.75,16.25,17.75,5255
2021-10-19,17.25,17.25,18.5,16.75,17.0,3979
2021-10-20,17.5,17.5,18.5,17.0,17.5,6363
2021-10-21,16.25,16.25,18.5,14.75,17.0,17765
2021-10-22,15.5,15.5,15.75,14.5,15.75,12684
2021-10-25,13.75,13.75,15.75,12.0,15.0,59142
2021-10-26,14.25,14.25,15.0,12.75,13.25,11483
2021-10-27,14.75,14.75,15.5,13.0,14.75,7033
2021-10-28,15.5,15.5,18.0,14.5,15.0,10878
2021-10-29,18.0,18.0,18.25,13.5,15.0,7602
2021-11-01,19.25,19.25,22.0,15.75,16.5,16657
2021-11-02,20.0,20.0,21.0,18.75,20.0,5452
2021-11-03,20.0,20.0,20.75,18.75,18.75,6013
2021-11-04,20.25,20.25,20.75,19.5,20.75,3216
2021-11-05,21.5,21.5,21.75,20.0,20.75,1795
2021-11-08,20.25,20.25,21.75,20.0,21.75,3924
2021-11-09,19.5,19.5,21.75,18.25,21.75,4690
2021-11-10,17.5,17.5,20.0,15.0,18.5,11483
2021-11-11,17.0,17.0,18.25,16.25,18.25,2917
2021-11-12,16.75,16.75,18.0,15.75,16.75,4265
2021-11-15,16.75,16.75,17.5,15.5,17.5,3411
2021-11-16,16.0,16.0,18.0,16.0,16.0,3919
2021-11-17,15.5,15.5,17.5,15.0,16.25,4858
2021-11-18,15.5,15.5,17.5,14.25,17.0,4621
2021-11-19,14.75,14.75,17.5,13.75,15.0,5460
2021-11-22,15.0,15.0,15.5,14.0,15.5,5261
2021-11-23,14.5,14.5,15.5,13.75,15.0,4042
2021-11-24,15.0,15.0,15.0,14.0,14.5,2632
2021-11-26,15.5,15.5,17.5,14.0,14.0,6484
2021-11-29,17.0,17.0,18.5,15.0,15.0,11565
2021-11-30,19.75,19.75,20.0,16.75,17.25,5194
2021-12-01,19.5,19.5,20.5,17.5,19.5,5057
2021-12-02,17.5,17.5,19.5,16.25,19.5,3439
2021-12-03,15.5,15.5,17.5,15.0,17.5,9446
2021-12-06,15.0,15.0,16.25,14.25,15.0,6253
2021-12-07,14.25,14.25,16.25,14.25,16.25,7935
2021-12-08,14.75,14.75,15.0,14.25,15.0,8044
2021-12-09,15.5,15.5,17.25,14.0,14.75,11647
2021-12-10,15.75,15.75,16.75,14.0,15.25,6309
2021-12-13,15.5,15.5,15.75,14.5,15.0,3574
2021-12-14,14.5,14.5,15.5,13.75,15.5,4818
2021-12-15,15.0,15.0,15.5,13.5,15.0,13413
2021-12-16,15.0,15.0,15.5,14.25,15.25,3854
2021-12-17,15.0,15.0,15.5,13.0,14.75,3458
2021-12-20,14.75,14.75,15.5,14.25,15.5,6165
2021-12-21,14.25,14.25,14.75,13.25,14.5,14954
2021-12-22,15.0,15.0,15.5,13.75,15.0,9794
2021-12-23,13.25,13.25,15.5,13.25,15.5,5433
2021-12-27,13.25,13.25,14.5,12.75,13.75,7450
2021-12-28,14.0,14.0,14.0,12.5,12.75,6294
2021-12-29,13.75,13.75,15.0,13.0,15.0,4548
2021-12-30,13.5,13.5,14.0,12.5,13.25,10501
2021-12-31,13.0,13.0,15.25,12.0,13.0,9476
2022-01-03,13.75,13.75,15.0,10.5,11.25,5809
2022-01-04,13.0,13.0,13.75,12.5,13.75,2754
2022-01-05,12.75,12.75,14.5,10.75,12.75,10605
2022-01-06,12.75,12.75,14.5,11.5,12.25,6324
2022-01-07,13.75,13.75,14.25,12.0,12.75,4473
2022-01-10,15.0,15.0,15.5,13.25,13.75,7090
2022-01-11,14.0,14.0,16.75,13.5,15.0,6412
2022-01-12,14.25,14.25,15.0,12.25,15.0,7374
2022-01-13,14.5,14.5,15.25,13.0,14.5,6134
2022-01-14,14.5,14.5,15.25,13.0,15.0,9938
2022-01-18,14.5,14.5,16.25,13.5,14.5,8794
2022-01-19,14.75,14.75,16.25,14.25,14.25,2750
2022-01-20,15.0,15.0,15.75,13.0,14.25,3114
2022-01-21,13.75,13.75,15.5,12.5,13.75,6549
2022-01-24,12.75,12.75,13.75,11.25,13.5,6144
2022-01-25,11.75,11.75,15.0,10.25,12.75,9278
